similitud,codigo_1,codigo_2,establecimiento_1,establecimiento_2,jornada_1,jornada_2,modalidad_1,modalidad_2,plan_1,plan_2,director_1,director_2,status_1,status_2
100.0,17-03-0120-46,17-03-0121-46,COLEGIO PRIVADO MIXTO EL FORMADOR,COLEGIO PRIVADO MIXTO EL FORMADOR,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,JUAN CARLOS MONZON LUTIN,JUAN CARLOS MONZON LUTIN,ABIERTA,ABIERTA
100.0,20-01-2349-46,20-01-2351-46,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DESCONOCIDO,DESCONOCIDO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,17-05-0232-46,17-05-0234-46,LICEO MIXTO MODERNO SANTA FE,LICEO MIXTO MODERNO SANTA FE,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),DELMY GABRIELA LUNA SIERRA,DELMY GABRIELA LUNA SIERRA,ABIERTA,ABIERTA
100.0,18-01-0350-46,18-01-0351-46,"COLEGIO TECNICO PRIVADO MIXTO ""SAN JOSE""","COLEGIO TECNICO PRIVADO MIXTO ""SAN JOSE""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,LUIS ALBERTO CARCAMO PEÑA,LUIS ALBERTO CARCAMO PEÑA,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,18-01-0377-46,18-01-0378-46,"INSTITUTO PARTICULAR MIXTO ""ADONAI""","INSTITUTO PARTICULAR MIXTO ""ADONAI""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SANDRA PATRICIA LÓPEZ JORDÁN,SANDRA PATRICIA LÓPEZ JORDÁN,ABIERTA,ABIERTA
100.0,04-12-0043-46,04-12-0051-46,INSTITUTO PRIVADO MIXTO ORIZABA,INSTITUTO PRIVADO MIXTO ORIZABA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DOUGLAS ROMEO LOPEZ ORIZABA,DOUGLAS ROMEO LOPEZ ORIZABA,ABIERTA,ABIERTA
100.0,18-01-0254-46,18-01-0256-46,INSTITUTO MIXTO INTEGRAL MARIA CHINCHILLA,INSTITUTO MIXTO INTEGRAL MARIA CHINCHILLA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,WALTER FRANCISCO LÓPEZ TOBAR,WALTER FRANCISCO LÓPEZ TOBAR,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,00-01-0376-46,00-01-0377-46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SILVIA SUSANA SALAZAR SOTO,SILVIA SUSANA SALAZAR SOTO,ABIERTA,ABIERTA
100.0,04-06-3151-46,04-06-3152-46,COLEGIO EVANGELICO ISRAEL,COLEGIO EVANGELICO ISRAEL,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,CÁNDIDA ROSA CORADO RIVERA,CÁNDIDA ROSA CORADO RIVERA,ABIERTA,ABIERTA
100.0,00-01-0407-46,00-01-0409-46,LICEO METROPOLITANO EN COMPUTACION III,LICEO METROPOLITANO EN COMPUTACION III,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MARGARITA DE JESUS BARRIOS CASTILLO,MARGARITA DE JESUS BARRIOS CASTILLO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,18-01-0182-46,18-01-0185-46,"INSTITUTO PARTICULAR MIXTO ""DESARROLLO Y CIENCIA""","INSTITUTO PARTICULAR MIXTO ""DESARROLLO Y CIENCIA""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,EDGAR ROMEO MARTÍNEZ CÁCERES,EDGAR ROMEO MARTÍNEZ CÁCERES,ABIERTA,ABIERTA
100.0,18-01-0209-46,18-01-0210-46,"CENTRO EDUCATIVO ""LICEO CENTROAMERICANO""","CENTRO EDUCATIVO ""LICEO CENTROAMERICANO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,WALTER DANILO MONTERROSO JIMÉNEZ,WALTER DANILO MONTERROSO JIMÉNEZ,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,00-01-0581-46,00-01-4336-46,LICEO SAN ANTONIO,LICEO SAN ANTONIO,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),IRMA LETICIA BOLAÑOS SAMAYOA,IRMA LETICIA BOLAÑOS SAMAYOA,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,22-02-0017-46,22-02-2087-46,"COLEGIO PARTICULAR MIXTO ""LICEO PROGRESO""","COLEGIO PARTICULAR MIXTO ""LICEO PROGRESO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,NELDA JUDITH PALMA ESTRADA,NELDA JUDITH PALMA ESTRADA,ABIERTA,ABIERTA
100.0,18-01-0232-46,18-01-0287-46,CENTRO EDUCATIVO CONCEPCION DE MARIA,CENTRO EDUCATIVO CONCEPCION DE MARIA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,EVELYN MARILU FRANCO ALDANA,EVELYN MARILU FRANCO ALDANA,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,00-01-0534-46,00-01-9773-46,INSTITUTO GUILLERMO PUTZEYS ÁLVAREZ,INSTITUTO GUILLERMO PUTZEYS ÁLVAREZ,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,JOSÉ RODERICO TELLO TELLO,JOSÉ RODERICO TELLO TELLO,ABIERTA,ABIERTA
100.0,00-01-0520-46,00-01-0521-46,"""LICEO MONTE SINAÍ""","""LICEO MONTE SINAÍ""",MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ISABEL ROBEDDI VALLAR TORRES,ISABEL ROBEDDI VALLAR TORRES,ABIERTA,ABIERTA
100.0,16-16-0135-46,16-16-0139-46,LICEO CRISTIANO EBENEZER,LICEO CRISTIANO EBENEZER,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),LIDIA TIUL CAAL,LIDIA TIUL CAAL,ABIERTA,ABIERTA
100.0,00-01-0468-46,00-01-0475-46,LICEO INTEGRAL BILINGUE LAN-DER,LICEO INTEGRAL BILINGUE LAN-DER,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ROSSANA VERONICA TELON OTZOY,ROSSANA VERONICA TELON OTZOY,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,00-01-0467-46,00-01-0475-46,LICEO INTEGRAL BILINGUE LAN-DER,LICEO INTEGRAL BILINGUE LAN-DER,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ROSSANA VERONICA TELON OTZOY,ROSSANA VERONICA TELON OTZOY,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,00-01-0467-46,00-01-0468-46,LICEO INTEGRAL BILINGUE LAN-DER,LICEO INTEGRAL BILINGUE LAN-DER,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ROSSANA VERONICA TELON OTZOY,ROSSANA VERONICA TELON OTZOY,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,22-06-0011-46,22-06-0021-46,"COLEGIO PARTICULAR MIXTO ""BRISAS DEL CHINGO""","COLEGIO PARTICULAR MIXTO ""BRISAS DEL CHINGO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ESTRELLA SOLEDAD CORADO GARCIA,ESTRELLA SOLEDAD CORADO GARCIA,ABIERTA,ABIERTA
